Zeitstempel;Market/contact;norm_name;Filename;Assessed level;Date of pic;Time;Skip #;;;;;;
9.26.2023 10:46:24;Limbe flea market;limbe flea market;WhatsApp Image 2023-09-26 at 10.00.18.jpg;4;26.09.2023;10:00:00;;;;;Limbe flea market;;limbe flea market
9.26.2023 10:47:05;Limbe produce market;limbe produce market;WhatsApp Image 2023-09-26 at 10.10.57.jpg;5;26.09.2023;10:10:00;1;;;;Limbe produce market;;limbe produce market
9.26.2023 10:47:28;Limbe produce market;limbe produce market;WhatsApp Image 2023-09-26 at 10.10.57.jpg;5;26.09.2023;10:10:00;2;;;;Pafumbi bus;;pafumbi bus
9.26.2023 10:47:59;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-09-26 at 10.20.52.jpg;0;26.09.2023;10:20:00;;;;;ITG;;ITG
9.26.2023 10:48:31;ITG;ITG;WhatsApp Image 2023-09-26 at 10.37.54.jpg;3;26.09.2023;10:37:00;1;;;;Ndirande;;ndirande
9.26.2023 10:48:56;ITG;ITG;WhatsApp Image 2023-09-26 at 10.37.54.jpg;4;26.09.2023;10:37:00;2;;;;Blantyre;;blantyre produce market
9.26.2023 10:50:06;Ndirande;ndirande;WhatsApp Image 2023-09-26 at 10.10.51.jpg;5;26.09.2023;10:10:00;1;;;;Chemusa;;chemusa
9.26.2023 10:50:41;Ndirande;ndirande;WhatsApp Image 2023-09-26 at 10.11.06.jpg;1;26.09.2023;10:11:00;2;;;;Kachere;;kachere
9.26.2023 10:51:12;Blantyre;blantyre produce market;WhatsApp Image 2023-09-26 at 08.15.45.jpg;5;26.09.2023;08:15:00;;;;;South Lunzu;;south lunzu
9.26.2023 10:51:54;Chemusa;chemusa;WhatsApp Image 2023-09-26 at 08.51.40.jpg;4;26.09.2023;08:51:00;;;;;Nkolokoti;;nkolokoti
9.26.2023 10:53:18;Kachere;kachere;WhatsApp Image 2023-09-26 at 10.28.38.jpg;5;26.09.2023;10:28:00;;;;;Zingwangwa mosque;;zingwangwa mosque
9.26.2023 18:19:16;Kachere;kachere;WhatsApp Image 2023-09-26 at 16.25.06.jpg;0;26.09.2023;16:25:00;;;;;Kamba/Soche market;;kamba/soche market
9.27.2023 14:32:04;South Lunzu;south lunzu;WhatsApp Image 2023-09-27 at 08.17.24.jpg;5;27.09.2023;08:17:00;;;;;Zingwangwa;;zingwangwa/thawale
9.27.2023 14:33:05;Chemusa;chemusa;WhatsApp Image 2023-09-27 at 08.23.11.jpg;5;27.09.2023;08:23:00;;;;;Chilobwe police;;chilobwe police
9.27.2023 14:33:53;Nkolokoti;nkolokoti;WhatsApp Image 2023-09-27 at 10.42.25.jpg;4;27.09.2023;10:42:00;;;;;Zingwangwa waterboard;;zingwangwa waterboard
9.27.2023 14:34:37;Ndirande;ndirande;WhatsApp Image 2023-09-27 at 10.43.20.jpg;3;27.09.2023;10:43:00;1;;;;Queens guardian shelter;;queens guardian shelter
9.27.2023 14:35:34;Ndirande;ndirande;WhatsApp Image 2023-09-27 at 10.43.31.jpg;4;27.09.2023;10:43:00;2;;;;Nthukwa;;nthukwa
9.27.2023 14:36:15;Kachere;kachere;WhatsApp Image 2023-09-27 at 10.45.45.jpg;1;27.09.2023;10:45:00;;;;;Blantyre Flea Market;;blantyre flea market
9.27.2023 14:37:05;Limbe flea market;limbe flea market;WhatsApp Image 2023-09-27 at 10.02.46.jpg;4;27.09.2023;10:02:00;;;;;Mibawa;;mibawa
9.27.2023 14:37:42;Limbe produce market;limbe produce market;WhatsApp Image 2023-09-27 at 10.23.39.jpg;4;27.09.2023;10:23:00;1;;;;Chilomoni market;;chilomoni market
9.27.2023 14:38:15;Limbe produce market;limbe produce market;WhatsApp Image 2023-09-27 at 10.23.39.jpg;3;27.09.2023;10:23:00;2;;;;Manase;;manase
9.27.2023 14:39:18;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-09-27 at 10.32.15.jpg;2;27.09.2023;10:32:00;;;;;Namwalimwe;;namwalimwe
9.27.2023 14:39:46;ITG;ITG;WhatsApp Image 2023-09-27 at 10.43.42.jpg;4;27.09.2023;10:43:00;1;;;;Chilomoni Fargo;;chilomoni fargo
9.27.2023 14:40:12;ITG;ITG;WhatsApp Image 2023-09-27 at 10.43.42.jpg;4;27.09.2023;10:43:00;2;;;;;;
9.27.2023 14:41:23;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-09-27 at 07.55.25.jpg;5;27.09.2023;07:55:00;;;;;;;
9.27.2023 14:42:04;Blantyre;blantyre produce market;WhatsApp Image 2023-09-27 at 09.04.06.jpg;5;27.09.2023;09:04:00;;;;;;;
9.27.2023 14:43:01;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-09-27 at 08.33.05.jpg;3;27.09.2023;08:33:00;;;;;;;
